url	dist.FAO.Area	dist.Status
73	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Northeast	native
74	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Western Central	native
75	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Eastern Central	native
76	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Southwest	native
77	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Southeast	native
78	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Atlantic, Antarctic	native
79	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Indian Ocean, Western	native
80	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Indian Ocean, Eastern	native
81	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Indian Ocean, Antarctic	native
82	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Pacific, Northwest	native
83	https://www.fishbase.se/Country/FaoAreaList.php?ID=6955&GenusName=Halosauropsis&SpeciesName=macrochir&fc=71&StockCode=7289&Scientific=Halosauropsis+macrochir	Pacific, Southwest	native
84	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Atlantic, Northwest	native
85	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Atlantic, Western Central	native
86	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Atlantic, Eastern Central	native
87	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Atlantic, Southwest	native
88	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Atlantic, Southeast	native
89	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Indian Ocean, Western	native
90	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Indian Ocean, Eastern	native
91	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Pacific, Northwest	native
92	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Pacific, Western Central	native
93	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Pacific, Eastern Central	native
94	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Pacific, Southwest	native
95	https://www.fishbase.se/Country/FaoAreaList.php?ID=7502&GenusName=Aldrovandia&SpeciesName=affinis&fc=71&StockCode=7805&Scientific=Aldrovandia+affinis	Pacific, Southeast	native
96	https://www.fishbase.se/Country/FaoAreaList.php?ID=4526&GenusName=Eurypharynx&SpeciesName=pelecanoides&fc=69&StockCode=4711&Scientific=Eurypharynx+pelecanoides	Atlantic, Northwest	native
