url	sci_name	common_name	habitat	threat_to_humans	human_uses	IUCN	IUCN_abr	physical_characters
25	https://www.fishbase.se/summary/Elops-saurus.html	Elops saurus Linnaeus,  1766	Ladyfish	Marine; brackish;  reef-associated; pH range: 0.2 - ?; amphidromous (Ref. 51243); depth range 0 - 50 m (Ref. 13325).   Subtropical; 29°N -   17°S	Harmless	Fisheries: minor commercial; gamefish: yes; bait: usually	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm TL male/unsexed; (Ref. 26340); common length : 60.0 cm TL male/unsexed; (Ref. 3718); max. published weight: 10.1 kg (Ref. 4699)
26	https://www.fishbase.se/summary/Albula-glossodonta.html	Albula glossodonta (Forsskål,  1775)	Roundjaw bonefish	Brackish;  reef-associated; oceanodromous (Ref. 51243); depth range ? - 10 m (Ref. 89972).   Tropical; 32°N -   32°S, 42°E -   139°W	Harmless	Fisheries: minor commercial; gamefish: yes; bait: usually	Vulnerable 	VU	Maturity: Lm ?  range ? - ? cm Max length : 90.0 cm SL male/unsexed; (Ref. 1602); max. published weight: 8.6 kg (Ref. 5450)
27	https://www.fishbase.se/summary/Albula-vulpes.html	Albula vulpes (Linnaeus,  1758)	Bonefish	Marine; brackish;  reef-associated; amphidromous (Ref. 51243); depth range 0 - 84 m (Ref. 13608), usually 1 - 15 m (Ref. 9268).   Subtropical; 26°N -   7°N, 97°W -   58°W (Ref. 118624)	Reports of ciguatera poisoning 	Fisheries: minor commercial; gamefish: yes; bait: usually	Near Threatened 	NT	Maturity: Lm48.8, range 21 -  36 cm Max length : 104 cm TL male/unsexed; (Ref. 7251); max. published weight: 10.0 kg (Ref. 37955)
28	https://www.fishbase.se/summary/Notacanthus-chemnitzii.html	Notacanthus chemnitzii Bloch,  1788	Snubnosed spiny eel	Marine;  benthopelagic; depth range 125 - 3285 m (Ref. 58426), usually 128 - 1000 m (Ref. 117245).   Deep-water; 61°N -   50°S, 180°W -   180°E	Harmless	Fisheries: of no interest	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 120 cm TL male/unsexed; (Ref. 4449)
29	https://www.fishbase.se/summary/Halosauropsis-macrochir.html	Halosauropsis macrochir (Günther,  1878)	Abyssal halosaur	Marine;  bathydemersal; depth range 1100 - 3300 m (Ref. 4448).   Deep-water; 50°N -   47°S	Harmless	NA	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 90.0 cm TL male/unsexed; (Ref. 4448)
30	https://www.fishbase.se/summary/Aldrovandia-affinis.html	Aldrovandia affinis (Günther,  1877)	Gilbert's halosaurid fish	Marine;  benthopelagic; depth range 730 - 2560 m (Ref. 3974).   Deep-water	Harmless	NA	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 55.0 cm TL male/unsexed; (Ref. 4448)
31	https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html	Eurypharynx pelecanoides Vaillant,  1882	Pelican eel	Marine;  bathypelagic; depth range 500 - 7625 m (Ref. 58426), usually 1200 - 1400 m (Ref. 559).   Deep-water; 67°N -   56°N, 180°W -   180°E	Harmless	Fisheries: of no interest	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 100.0 cm TL male/unsexed; (Ref. 27000); common length : 55.0 cm NG male/unsexed; (Ref. 5755)
32	https://www.fishbase.se/summary/Saccopharynx-ampullaceus.html	Saccopharynx ampullaceus (Harwood,  1827)	Gulper eel	Marine;  bathypelagic; depth range 0 - 3000 m (Ref. 27000).   Deep-water; 73°N -   10°N, 77°W -   1°W	Harmless	NA	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 161 cm TL male/unsexed; (Ref. 27000)
33	https://www.fishbase.se/summary/Nemichthys-scolopaceus.html	Nemichthys scolopaceus Richardson,  1848	Slender snipe eel	Marine;  bathypelagic; depth range 100 - 4337 m (Ref. 96339), usually 100 - 1000 m (Ref. 58302).   Deep-water; 55°N -   42°S, 180°W -   180°E	Harmless	Fisheries: of no interest	Least Concern 	LC	Maturity: Lm ?  range ? - ? cm Max length : 130 cm TL male/unsexed; (Ref. 35388)
34	https://www.fishbase.se/summary/Anguilla-rostrata.html	Anguilla rostrata (Lesueur,  1817)	American eel	Marine; freshwater; brackish;  demersal; catadromous (Ref. 26938); depth range 0 - 464 m (Ref. 57178).   Subtropical; 4°C - 25°C (Ref. 12468); 66°N -   5°N, 98°W -   21°W	Harmless	Fisheries: commercial; aquaculture: commercial; gamefish: yes; aquarium: public aquariums	Endangered 	EN	Maturity: Lm ?, range 37 -  100 cm Max length : 152 cm TL male/unsexed; (Ref. 26938); 122.0 cm TL (female); common length : 50.0 cm TL male/unsexed; (Ref. 3242); max. published weight: 7.3 kg (Ref. 4699); max. reported age: 43 years (Ref. 40922)
