url	sci_name	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age
https://www.fishbase.se/summary/Alectis-ciliaris.html	Alectis ciliaris (Bloch,  1787)	African pompano	Reports of ciguatera poisoning 	Least Concern 	LC	minor commercial	NA	yes	NA	commercial	Marine	reef-associated	NA	60	100	Subtropical	22.9 kg	NA
https://www.fishbase.se/summary/Selene-setapinnis.html	Selene setapinnis (Mitchill,  1815)	Atlantic moonfish	Reports of ciguatera poisoning 	Least Concern 	LC	highly commercial	NA	NA	NA	public aquariums	Marine;brackish	benthopelagic	NA	0	55	Subtropical	4.6 kg	NA
https://www.fishbase.se/summary/Selene-brownii.html	Selene brownii (Cuvier,  1816)	Caribbean moonfish	Harmless	Least Concern 	LC	subsistence fisheries	NA	NA	NA	NA	Marine	demersal	NA	NA	NA	Tropical	119.30 g	NA
https://www.fishbase.se/summary/Leptobrama-muelleri.html	Leptobrama muelleri Steindachner,  1878	Beachsalmon	Harmless	Not Evaluated	NA	NA	NA	NA	NA	NA	Marine;freshwater;brackish	benthopelagic	NA	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Toxotes-chatareus.html	Toxotes chatareus (Hamilton,  1822)	Spotted archerfish	Harmless	Not Evaluated	NA	minor commercial	NA	NA	NA	commercial	Freshwater;brackish	pelagic	amphidromous	NA	NA	Tropical	750.00 g	NA
https://www.fishbase.se/summary/Toxotes-jaculatrix.html	Toxotes jaculatrix (Pallas,  1767)	Banded archerfish	Harmless	Least Concern 	LC	minor commercial	NA	NA	NA	commercial	Freshwater;brackish	reef-associated	amphidromous	NA	NA	Tropical	NA	NA
https://www.fishbase.se/summary/Xiphias-gladius.html	Xiphias gladius Linnaeus,  1758	Swordfish	NA	Endangered 	EN	commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	2878	Temperate	650.0 kg	NA
https://www.fishbase.se/summary/Kajikia-albida.html	Kajikia albida (Poey,  1860)	Atlantic white marlin	Harmless	Vulnerable 	VU	minor commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	150	Subtropical	82.5 kg	NA
https://www.fishbase.se/summary/Istiophorus-platypterus.html	Istiophorus platypterus (Shaw,  1792)	Indo-Pacific sailfish	Harmless	Least Concern 	LC	commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	200	Subtropical	100.2 kg	13 years
https://www.fishbase.se/summary/Tetrapturus-angustirostris.html	Tetrapturus angustirostris Tanaka,  1915	Shortbill spearfish	Harmless	Data deficient 	DD	minor commercial	NA	yes	NA	NA	Marine	pelagic-oceanic	oceanodromous	0	1830	Subtropical	52.0 kg	NA
