Betancur_R_ID	FishBase_ID	CLADE	Family	Infraorder	Suborder	Order	Superorder	Subseries	Series	Subdivision	Division	Subsection	Section	Infracohort	Subcohort	Cohort	Supercohort	Megacohort	Infraclass	Subclass	Class	Superclass	Megaclass	Validity	Examined_not_examined	Monophyly
Acreichthys_tomentosus_N21168	Acreichthys-tomentosus	Clade42	Monacanthidae		Balistoidei	Tetraodontiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acrobycon_ipanquianus_P3_C01_RG29	Acrobrycon-ipanquianus	Clade12b	Characidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acrocheilus_alutaceus_I2582-AUF0194	Acrocheilus-alutaceus	Clade11d	Leuciscidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Acropoma_japonicum_G01188	Acropoma-japonicum	Clade42	Acropomatidae			Pempheriformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; more evidence needed
Acrossocheilus_monticola_I2663-96	Acrossocheilus-monticola	Clade11d	Cyprinidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Adelosebastes_latens_E00066	Adelosebastes-latens	Clade42	Sebastidae		Scorpaenoidei	Perciformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Adinia_xenica_E00173	Adinia-xenica	Clade41	Fundulidae		Cyprinodontoidei	Cyprinodontiformes	Atherinomorphae		Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aeoliscus_strigatus	Aeoliscus-strigatus	Clade37	Centriscidae		Syngnathoidei	Syngnathiformes			Syngnatharia	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aethaloperca_rogaa_E01079	Aethaloperca-rogaa	Clade42	Serranidae		Serranoidei	Perciformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aethotaxis_mitopteryx_G01528	Aethotaxis-mitopteryx	Clade42	Nototheniidae		Notothenioidei	Perciformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; more evidence needed
Ahliesaurus_berryi_E00661	Ahliesaurus-berryi	Clade23	Notosudidae		Alepisauroidei	Aulopiformes							Cyclosquamata	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Akrokolioplax_bicornis_I2693-170	Akrokolioplax-bicornis	Clade11d	Cyprinidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Albatrossia_pectoralis_E00360	Albatrossia-pectoralis	Clade29	Macrouridae			Gadiformes		Gadariae	Zeiogadaria		Paracanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Albula_glossodonta_G01192	Albula-glossodonta	Clade06b	Albulidae			Albuliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Albula_vulpes_E00501	Albula-vulpes	Clade06b	Albulidae			Albuliformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Albulichthys_albuloides_I2648-128	Albulichthys-albuloides	Clade11d	Xenocyprididae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alburnoides_bipunctatus_I2624-2	Alburnoides-bipunctatus	Clade11d	Leuciscidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alburnus_alburnus_I2696-175	Alburnus-alburnus	Clade11d	Leuciscidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aldrovandia_affinis_G01193	Aldrovandia-affinis	Clade06c	Halosauridae			Notacanthiformes										Elopomorpha		Elopocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alectis_ciliaris_E00469	Alectis-ciliaris	Clade40	Carangidae			Carangiformes			Carangaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alepisaurus_brevirostris_E00653	Alepisaurus-brevirostris	Clade23	Alepisauridae		Alepisauroidei	Aulopiformes							Cyclosquamata	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alepisaurus_ferox_E00965	Alepisaurus-ferox	Clade23	Alepisauridae		Alepisauroidei	Aulopiformes							Cyclosquamata	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alepocephalus_agassizii_G01194	Alepocephalus-agassizii	Clade09	Alepocephalidae			Alepocephaliformes									Alepocephali	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies
Alepocephalus_tenebrosus_E00358	Alepocephalus-tenebrosus	Clade09	Alepocephalidae			Alepocephaliformes									Alepocephali	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; monophyletic in other studies
Alestopetersius_hilgendorfi_P3_D01_RG40	Alestopetersius-hilgendorfi	Clade12b	Alestidae		Characoidei	Characiformes	Characiphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Alosa_pseudoharengus_G01195	Alosa-pseudoharengus	Clade08b	Clupeidae		Clupeoidei	Clupeiformes									Clupei	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Not monophyletic; more evidence needed
Alticus_arnoldorum_E00989	Alticus-arnoldorum	Clade41	Blenniidae			Blenniiformes	Blenniimorphae		Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Aluterus_scriptus_E00316	Aluterus-scriptus	Clade42	Monacanthidae		Balistoidei	Tetraodontiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amanses_scopas_E00536	Amanses-scopas	Clade42	Monacanthidae		Balistoidei	Tetraodontiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ambassis_agrammus_G01196	Ambassis-agrammus	Clade41	Ambassidae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ambassis_interrupta_E01100	Ambassis-interrupta	Clade41	Ambassidae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ambassis_urotaenia_G01197	Ambassis-urotaenia	Clade41	Ambassidae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ambloplites_rupestris_E00392	Ambloplites-rupestris	Clade42	Centrarchidae		Centrarchoidei	Centrarchiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblycirrhitus_pinos_E00314	Amblycirrhitus-pinos	Clade42	Cirrhitidae		Cirrhitoidei	Centrarchiformes			Eupercaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblyeleotris_guttata_E01043	Amblyeleotris-guttata	Clade38c	Gobiidae		Gobioidei	Gobiiformes			Gobiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblyeleotris_gymnocephala_E00409	Amblyeleotris-gymnocephala	Clade38c	Gobiidae		Gobioidei	Gobiiformes			Gobiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblyeleotris_wheeleri_E01073	Amblyeleotris-wheeleri	Clade38c	Gobiidae		Gobioidei	Gobiiformes			Gobiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblyglyphidodon_leucogaster_E00529	Amblyglyphidodon-leucogaster	Clade41	Pomacentridae			Incertae sedis in Ovalentaria			Ovalentaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblygobius_decussatus_E00533	Amblygobius-decussatus	Clade38c	Gobiidae		Gobioidei	Gobiiformes			Gobiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblygobius_phalaena_E00736	Amblygobius-phalaena	Clade38c	Gobiidae		Gobioidei	Gobiiformes			Gobiaria	Percomorphaceae	Acanthopterygii	Acanthomorphata	Ctenosquamata 	Eurypterygia	Neoteleostei	Euteleosteomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblypharyngodon_mola_I2632-26	Amblypharyngodon-mola	Clade11d	Danionidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amblyrhynchichthys_truncatus_I2649-129	Amblyrhynchichthys-truncatus	Clade11d	Cyprinidae		Cyprinoidei	Cypriniformes	Cypriniphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Ameiurus_nebulosus_P02_F07_RG33	Ameiurus-nebulosus	Clade14c	Ictaluridae		Siluroidei	Siluriformes	Siluriphysae						Otophysa		Ostariophysi	Otomorpha	Clupeocephala	Osteoglossocephalai	Teleostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Yes
Amia_calva_E00461	Amia-calva	Clade04	Amiidae			Amiiformes													Holostei	Neopterygii	Actinopteri	Actinopterygii	Osteichthyes	Valid	Examined	Monotypic
