Group	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_area	fao_status
Monodelphis_domestica_G01378										0	0	0									
Monolene_sp_E01172										0	0	0									
Monopterus_albus_E01134	Asian swamp eel	Harmless	Least Concern	LC	commercial	commercial			commercial	1	1	0	demersal	potamodromous	3		Tropical			Oceania - Inland waters; America, North - Inland waters; Asia - Inland waters; Pacific, Northwest	introduced
Monotaxis_grandoculis_G01379	Humpnose big-eye bream	Reports of ciguatera poisoning	Least Concern	LC	commercial		yes		commercial	0	0	1	reef-associated	non-migratory	1	100	Tropical	5.9		Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Pacific, Eastern Central; Pacific, Northwest; Mediterranean and Black Sea	native
Moolgarda_engeli_E00739	Kanda	Potential pest	Least Concern	LC	commercial			occasionally		0	1	1	reef-associated		0	3	Tropical				
Morone_americana_E00017	White perch	Harmless	Least Concern	LC	minor commercial		yes		public aquariums	1	1	1	demersal	anadromous	0	10	Temperate	2.7	16	Atlantic, Northwest; Atlantic, Western Central; America, North - Inland waters	native
Morone_chrysops_E00992	White bass	Harmless	Least Concern	LC		experimental	yes			1	0	0	benthopelagic	potamodromous	0	13	Temperate	3.1	9	America, North - Inland waters; Asia - Inland waters	native
Morone_mississippiensis_E00087	Yellow bass	Harmless	Least Concern	LC			yes			1	0	0	demersal				Subtropical	11	7	Atlantic, Western Central; America, North - Inland waters	native
Morone_saxatilis_G01380	Striped bass	Harmless	Least Concern	LC	minor commercial	commercial	yes			1	1	1	demersal	anadromous	30		Temperate	57	30	Atlantic, Northwest; Atlantic, Western Central; Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Pacific, Eastern Central; Asia - Inland waters; Pacific, Northeast	native
Mugil_cephalus_E00049	Flathead grey mullet	Harmless	Least Concern	LC	highly commercial	commercial	yes	occasionally		1	1	1	benthopelagic	catadromous	0	120	Subtropical		16	Atlantic, Northwest; Atlantic, Western Central; Indian Ocean, Eastern; Pacific, Southwest; Indian Ocean, Western; Pacific, Western Central; Oceania - Inland waters; Africa-Inland Waters; America, South - Inland waters; America, North - Inland waters; Europe - Inland waters; Atlantic, Northeast; Atlantic, Eastern Central; Atlantic, Southwest; Pacific, Eastern Central; Asia - Inland waters; Pacific, Northwest; Atlantic, Southeast; Pacific, Southeast; Mediterranean and Black Sea	native
