items	name	Clade	Family	Order	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_status	Africa_Inland_Waters	North_America_Inland_waters	South_America_Inland_waters	Asia_Inland_waters	Europe_Inland_waters	Oceania_Inland_waters	Antarctica_Inland_waters	Arctic_Ocean	Atlantic_Antarctic	Atlantic_Eastern_Central	Atlantic_Northeast	Atlantic_Northwest	Atlantic_Southeast	Atlantic_Southwest	Atlantic_Western_Central	Indian_Ocean_Antarctic	Indian_Ocean_Eastern	Indian_Ocean_Western	Mediterranean_and_Black_Sea	Pacific_Antarctic	Pacific_Eastern_Central	Pacific_Northeast	Pacific_Northwest	Pacific_Southeast	Pacific_Southwest	Pacific_Western_Central
Acanthemblemaria_paula_E00295	Acanthemblemaria_paula_E00295	Clade41	Chaenopsidae	Blenniiformes	Dwarf spinyhead blenny	Harmless	Data deficient	DD						0	0	1	reef-associated		1	2	Tropical	0	0	endemic															yes											
Acanthicus_adonis_P02_B10_RG55	Acanthicus_adonis_P02_B10_RG55	Clade14a	Loricariidae	Siluriformes		Harmless	Not Evaluated	NE					commercial	1	0	0	demersal		0	0	Tropical	0	0	endemic			yes																							
Acanthocepola_sp_M01669	Acanthocepola_sp_M01669	Clade42	Cepolidae	Priacanthiformes										0	0	0			0	0		0	0																											
Acanthochaenus_luetkenii_M30097	Acanthochaenus_luetkenii_M30097	Clade32b	Stephanoberycidae	Beryciformes	Pricklefish	Harmless	Least Concern	LC						0	0	1	benthopelagic		1655	5397	Deep-water	0	0	native										yes	yes	yes	yes		yes		yes	yes					yes	yes	yes	
Acanthochromis_polyacanthus_E00466	Acanthochromis_polyacanthus_E00466	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Spiny chromis	Harmless	Least Concern	LC						0	0	1	reef-associated	non-migratory	1	65	Tropical	0	0	native																	yes						yes			yes
Acanthocobitis_botia_I2718-54	Acanthocobitis_botia_I2718-54	Clade11c	Nemacheilidae	Cypriniformes	Mottled loach	Harmless	Least Concern	LC	of no interest					1	0	0	demersal		0	0	Tropical	0	0	endemic				yes																						
Acanthocybium_solandri_E00927	Acanthocybium_solandri_E00927	Clade36	Scombridae	Scombriformes	Wahoo	Reports of ciguatera poisoning	Least Concern	LC	commercial		yes			0	0	1	pelagic-oceanic	oceanodromous	0	20	Subtropical	83	0	native										yes			yes	yes	yes		yes	yes	yes		yes		yes	yes	yes	yes
Acanthodoras_spinosissimus_P02_C08_RG17	Acanthodoras_spinosissimus_P02_C08_RG17	Clade14c	Doradidae	Siluriformes	Talking catfish	Venomous	Not Evaluated	NE	of no interest				commercial	1	0	0	demersal		0	0	Tropical	0	0	endemic			yes																							
Acanthopagrus_catenula_E00953	Acanthopagrus_catenula_E00953	Clade42	Sparidae	Spariformes	Bridled seabream	Harmless	Data deficient	DD						0	1	1	reef-associated		0	0	Tropical	0	0	endemic																		yes								
Acanthopagrus_latus_M01638	Acanthopagrus_latus_M01638	Clade42	Sparidae	Spariformes	Yellowfin seabream	Harmless	Data deficient	DD		commercial				1	1	1	demersal		0	0	Subtropical	1.5	0	native				yes																			yes			
Acanthostracion_quadricornis_E00760	Acanthostracion_quadricornis_E00760	Clade42	Ostraciidae	Tetraodontiformes	Scrawled cowfish	Reports of ciguatera poisoning	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		1	80	Subtropical	0	0	native										yes		yes	yes	yes	yes				yes							
Acanthurus_bahianus_E00005	Acanthurus_bahianus_E00005	Clade42	Acanthuridae	Acanthuriformes	Barber surgeonfish	Harmless	Least Concern	LC						0	0	1	reef-associated		2	40	Tropical	0	0	native													yes	yes												
Acanthurus_guttatus_E00709	Acanthurus_guttatus_E00709	Clade42	Acanthuridae	Acanthuriformes	Whitespotted surgeonfish	Harmless	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	8	Tropical	0	0	introduced															yes		yes	yes			yes		yes			yes
Acanthurus_leucosternon_E00880	Acanthurus_leucosternon_E00880	Clade42	Acanthuridae	Acanthuriformes	Powderblue surgeonfish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated		0	25	Tropical	0	0	native																	yes	yes					yes			yes
Acanthurus_lineatus_E00889	Acanthurus_lineatus_E00889	Clade42	Acanthuridae	Acanthuriformes	Lined surgeonfish	Venomous	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	15	Tropical	0	46	native																	yes	yes			yes		yes			yes
Acanthurus_triostegus_E00711	Acanthurus_triostegus_E00711	Clade42	Acanthuridae	Acanthuriformes	Convict surgeonfish	Reports of ciguatera poisoning	Least Concern	LC	commercial				commercial	0	0	1	reef-associated		0	90	Tropical	0	0	native													yes				yes	yes			yes		yes	yes	yes	yes
Acantopsis_sp_I2577-JWA0327	Acantopsis_sp_I2577-JWA0327	Clade11c	Cobitidae	Cypriniformes										0	0	0			0	0		0	0																											
Acestrocephalus_ginesi_P1_B01_RG31	Acestrocephalus_ginesi_P1_B01_RG31	Clade12b	Characidae	Characiformes		Harmless	Not Evaluated	NE						1	0	0	benthopelagic		0	0	Tropical	0	0																											
Acestrorhynchus_microlepis_P1_H03_RG88	Acestrorhynchus_microlepis_P1_H03_RG88	Clade12b	Acestrorhynchidae	Characiformes	Pike characin	Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic		0	0	Tropical	0.23	0	endemic			yes																							
Acheilognathus_tonkinensis_I2578-CCS0001	Acheilognathus_tonkinensis_I2578-CCS0001	Clade11d	Acheilognathidae	Cypriniformes		Harmless	Data deficient	DD						1	0	0	benthopelagic		0	0	Tropical	0	0	endemic				yes																						
Achirus_lineatus_E00605	Achirus_lineatus_E00605	Clade40	Achiridae	Pleuronectiformes	Lined sole	Harmless	Least Concern	LC					commercial	0	1	1	reef-associated		1	20	Tropical	0.0295	0	native			yes											yes	yes									yes		
Acipenser_fulvescens_G01187	Acipenser_fulvescens_G01187	Clade03	Acipenseridae	Acipenseriformes	Lake sturgeon	Harmless	Least Concern	LC	commercial	experimental	yes		public aquariums	1	1	0	demersal	potamodromous	5	9	Temperate	125	152	native		yes																								
Acnodon_oligacantus_P02_A08_RG16	Acnodon_oligacantus_P02_A08_RG16	Clade12b	Serrasalmidae	Characiformes		Harmless	Not Evaluated	NE						1	0	0	benthopelagic	potamodromous	0	0	Tropical	0	0	endemic			yes																							
Acreichthys_tomentosus_N21168	Acreichthys_tomentosus_N21168	Clade42	Monacanthidae	Tetraodontiformes	Bristle-tail file-fish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	2	15	Tropical	0	0	native																	yes	yes			yes		yes			yes
Acrobycon_ipanquianus_P3_C01_RG29	Acrobycon_ipanquianus_P3_C01_RG29	Clade12b	Characidae	Characiformes		Harmless	Not Evaluated	NE						1	0	0	benthopelagic		0	0	Subtropical	0	0	endemic			yes																							
Acrocheilus_alutaceus_I2582-AUF0194	Acrocheilus_alutaceus_I2582-AUF0194	Clade11d	Leuciscidae	Cypriniformes	Chiselmouth	Harmless	Least Concern	LC	minor commercial					1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Acropoma_japonicum_G01188	Acropoma_japonicum_G01188	Clade42	Acropomatidae	Pempheriformes	Glowbelly	Harmless	Not Evaluated	NE	commercial					0	0	1	bathypelagic		100	500	Deep-water	0	0	native																	yes	yes					yes			yes
Acrossocheilus_monticola_I2663-96	Acrossocheilus_monticola_I2663-96	Clade11d	Cyprinidae	Cypriniformes		Harmless	Not Evaluated	NE						1	0	0	benthopelagic		0	0	Temperate	0	0	endemic				yes																						
Adelosebastes_latens_E00066	Adelosebastes_latens_E00066	Clade42	Sebastidae	Perciformes		Harmless	Not Evaluated	NE						0	0	1	bathydemersal		900	1200	Deep-water	0	0	endemic																							yes			
Adinia_xenica_E00173	Adinia_xenica_E00173	Clade41	Fundulidae	Cyprinodontiformes	Diamond killifish	Harmless	Least Concern	LC					commercial	1	1	1	benthopelagic	non-migratory	0	0	Tropical	0	0																											
Aeoliscus_strigatus	Aeoliscus_strigatus	Clade37	Centriscidae	Syngnathiformes	Razorfish	Harmless	Data deficient	DD	of no interest				commercial	0	0	1	reef-associated		2	42	Tropical	0	0	native																	yes	yes					yes			yes
Aethaloperca_rogaa_E01079	Aethaloperca_rogaa_E01079	Clade42	Serranidae	Perciformes	Redmouth grouper	Harmless	Least Concern	LC	minor commercial		yes			0	0	1	reef-associated	non-migratory	3	60	Tropical	0	0	native																	yes	yes					yes			yes
Aethotaxis_mitopteryx_G01528	Aethotaxis_mitopteryx_G01528	Clade42	Nototheniidae	Perciformes	Longfin icedevil	Harmless	Not Evaluated	NE	of no interest					0	0	1	bathypelagic		0	850	Deep-water	0	0	native									yes							yes				yes						
Ahliesaurus_berryi_E00661	Ahliesaurus_berryi_E00661	Clade23	Notosudidae	Aulopiformes		Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		0	2000	Deep-water	0	0	native										yes	yes	yes	yes	yes	yes		yes	yes			yes			yes	yes	yes
Akrokolioplax_bicornis_I2693-170	Akrokolioplax_bicornis_I2693-170	Clade11d	Cyprinidae	Cypriniformes		Harmless	Data deficient	DD						1	0	0	demersal		0	0	Tropical	0	0	endemic				yes																						
Albatrossia_pectoralis_E00360	Albatrossia_pectoralis_E00360	Clade29	Macrouridae	Gadiformes	Giant grenadier	Harmless	Not Evaluated	NE	commercial					0	0	1	bathydemersal	non-migratory	140	3500	Deep-water	86	56	native																					yes	yes	yes			
Albula_glossodonta_G01192	Albula_glossodonta_G01192	Clade06b	Albulidae	Albuliformes	Roundjaw bonefish	Harmless	Vulnerable	VU	minor commercial		yes	usually		0	1	0	reef-associated	oceanodromous	0	10	Tropical	8.6	0	native																	yes	yes			yes		yes		yes	yes
Albula_vulpes_E00501	Albula_vulpes_E00501	Clade06b	Albulidae	Albuliformes	Bonefish	Reports of ciguatera poisoning	Near Threatened	NT	minor commercial		yes	usually		0	1	1	reef-associated	amphidromous	0	84	Subtropical	10	0	native												yes	yes	yes	yes		yes	yes			yes		yes	yes		yes
Albulichthys_albuloides_I2648-128	Albulichthys_albuloides_I2648-128	Clade11d	Xenocyprididae	Cypriniformes		Harmless	Least Concern	LC	minor commercial					1	1	0	benthopelagic		0	0	Tropical	0	0	endemic				yes																						
Alburnoides_bipunctatus_I2624-2	Alburnoides_bipunctatus_I2624-2	Clade11d	Leuciscidae	Cypriniformes	Schneider	Harmless	Not Evaluated	NE	of no interest			usually	commercial	1	1	0	benthopelagic	potamodromous	0	0	Subtropical	0.03	0	native				yes	yes																					
Alburnus_alburnus_I2696-175	Alburnus_alburnus_I2696-175	Clade11d	Leuciscidae	Cypriniformes	Bleak		Least Concern	LC	minor commercial	commercial		usually		1	1	0	benthopelagic	potamodromous	1	0	Temperate	0.06	0	introduced	yes			yes	yes						yes								yes							
Aldrovandia_affinis_G01193	Aldrovandia_affinis_G01193	Clade06c	Halosauridae	Notacanthiformes	Gilberts halosaurid fish	Harmless	Least Concern	LC						0	0	1	benthopelagic		730	2560	Deep-water	0	0	native										yes		yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Alectis_ciliaris_E00469	Alectis_ciliaris_E00469	Clade40	Carangidae	Carangiformes	African pompano	Reports of ciguatera poisoning	Least Concern	LC	minor commercial		yes		commercial	0	0	1	reef-associated		60	100	Subtropical	22.9	0	native										yes		yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Alepisaurus_brevirostris_E00653	Alepisaurus_brevirostris_E00653	Clade23	Alepisauridae	Aulopiformes	Short snouted lancetfish	Harmless	Least Concern	LC						0	0	1	bathypelagic		640	1591	Deep-water	0	0	native									yes	yes	yes	yes	yes	yes	yes	yes	yes	yes		yes				yes	yes	yes
Alepisaurus_ferox_E00965	Alepisaurus_ferox_E00965	Clade23	Alepisauridae	Aulopiformes	Long snouted lancetfish	Harmless	Least Concern	LC						0	0	1	bathypelagic	oceanodromous	0	1830	Deep-water	9	0	native										yes	yes	yes	yes	yes	yes		yes	yes	yes		yes	yes	yes	yes	yes	yes
Alepocephalus_agassizii_G01194	Alepocephalus_agassizii_G01194	Clade09	Alepocephalidae	Alepocephaliformes	Agassiz slickhead	Harmless	Least Concern	LC	of potential interest					0	0	1	bathydemersal		600	2500	Deep-water	0	0	native										yes	yes	yes			yes											
Alepocephalus_tenebrosus_E00358	Alepocephalus_tenebrosus_E00358	Clade09	Alepocephalidae	Alepocephaliformes	California slickhead	Harmless	Not Evaluated	NE						0	0	1	bathydemersal		46	5500	Deep-water	0	0	native																					yes	yes	yes	yes		
Alestopetersius_hilgendorfi_P3_D01_RG40	Alestopetersius_hilgendorfi_P3_D01_RG40	Clade12b	Alestidae	Characiformes		Harmless	Least Concern	LC						1	0	0	pelagic		0	0	Tropical	0	0	endemic	yes																									
Alosa_pseudoharengus_G01195	Alosa_pseudoharengus_G01195	Clade08b	Clupeidae	Clupeiformes	Alewife	Harmless	Least Concern	LC	commercial			occasionally		1	1	1	pelagic-neritic	anadromous	5	145	Temperate	0.2	9	native		yes										yes			yes											
Alticus_arnoldorum_E00989	Alticus_arnoldorum_E00989	Clade41	Blenniidae	Blenniiformes	Pacific leaping blenny	Harmless	Least Concern	LC						0	0	1	reef-associated		0	0	Tropical	0	0	native																					yes					yes
Aluterus_scriptus_E00316	Aluterus_scriptus_E00316	Clade42	Monacanthidae	Tetraodontiformes	Scribbled leatherjacket filefish	Reports of ciguatera poisoning	Least Concern	LC			yes		commercial	0	0	1	reef-associated		3	120	Subtropical	2.5	0	native										yes	yes	yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Amanses_scopas_E00536	Amanses_scopas_E00536	Clade42	Monacanthidae	Tetraodontiformes	Broom filefish	Harmless	Least Concern	LC	minor commercial					0	0	1	reef-associated		3	18	Tropical	0	0	native																	yes	yes			yes		yes			yes
Ambassis_agrammus_G01196	Ambassis_agrammus_G01196	Clade41	Ambassidae	Incertae sedis in Ovalentaria	Sailfin glass perchlet	Harmless	Not Evaluated	NE						1	1	0	demersal		0	0	Tropical	0	0	native				yes		yes																				
Ambassis_interrupta_E01100	Ambassis_interrupta_E01100	Clade41	Ambassidae	Incertae sedis in Ovalentaria	Long-spined glass perchlet	Harmless	Least Concern	LC	minor commercial					1	1	1	demersal	amphidromous	0	0	Tropical	0.012	0	native				yes		yes											yes	yes					yes			yes
Ambassis_urotaenia_G01197	Ambassis_urotaenia_G01197	Clade41	Ambassidae	Incertae sedis in Ovalentaria	Banded-tail glassy perchlet	Harmless	Least Concern	LC						1	1	1	demersal	amphidromous	0	0	Tropical	0	0	native	yes			yes		yes											yes	yes					yes			yes
Ambloplites_rupestris_E00392	Ambloplites_rupestris_E00392	Clade42	Centrarchidae	Centrarchiformes	Rock bass	Harmless	Least Concern	LC	minor commercial		yes		public aquariums	1	0	0	demersal		0	21	Subtropical	1.4	18	native		yes			yes																					
Amblycirrhitus_pinos_E00314	Amblycirrhitus_pinos_E00314	Clade42	Cirrhitidae	Centrarchiformes	Redspotted hawkfish	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		2	46	Tropical	0	0	native													yes	yes	yes											yes
Amblyeleotris_guttata_E01043	Amblyeleotris_guttata_E01043	Clade38c	Gobiidae	Gobiiformes	Spotted prawn-goby	Harmless	Not Evaluated	NE					commercial	0	0	1	reef-associated		10	40	Tropical	0	0	native																	yes				yes		yes			yes
Amblyeleotris_gymnocephala_E00409	Amblyeleotris_gymnocephala_E00409	Clade38c	Gobiidae	Gobiiformes	Masked shrimpgoby	Harmless	Not Evaluated	NE	of no interest				commercial	0	1	1	reef-associated	amphidromous	5	35	Tropical	0	0	native																	yes						yes			yes
Amblyeleotris_wheeleri_E01073	Amblyeleotris_wheeleri_E01073	Clade38c	Gobiidae	Gobiiformes	Gorgeous prawn-goby	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		5	40	Tropical	0	0	native																		yes					yes			yes
Amblyglyphidodon_leucogaster_E00529	Amblyglyphidodon_leucogaster_E00529	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Yellowbelly damselfish	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	2	45	Tropical	0	0	native																	yes	yes			yes		yes			yes
Amblygobius_decussatus_E00533	Amblygobius_decussatus_E00533	Clade38c	Gobiidae	Gobiiformes	Orange-striped goby	Harmless	Not Evaluated	NE					commercial	0	1	1	reef-associated		3	25	Tropical	0	0	native																	yes						yes			yes
Amblygobius_phalaena_E00736	Amblygobius_phalaena_E00736	Clade38c	Gobiidae	Gobiiformes	Whitebarred goby	Harmless	Not Evaluated	NE	minor commercial				commercial	0	0	1	reef-associated		0	52	Tropical	0	0	native																	yes				yes		yes		yes	yes
Amblypharyngodon_mola_I2632-26	Amblypharyngodon_mola_I2632-26	Clade11d	Danionidae	Cypriniformes	Mola carplet	Harmless	Least Concern	LC	of no interest					1	0	0	benthopelagic		0	0	Tropical	0	0	endemic				yes																						
Amblyrhynchichthys_truncatus_I2649-129	Amblyrhynchichthys_truncatus_I2649-129	Clade11d	Cyprinidae	Cypriniformes		Harmless	Least Concern	LC						1	0	0	benthopelagic	potamodromous	0	0	Tropical	0	0	endemic				yes																						
Ameiurus_nebulosus_P02_F07_RG33	Ameiurus_nebulosus_P02_F07_RG33	Clade14c	Ictaluridae	Siluriformes	Brown bullhead	Potential pest	Least Concern	LC	minor commercial	commercial	yes			1	0	0	demersal		0	12	Subtropical	2.7	9	introduced		yes	yes	yes	yes	yes																				
Amia_calva_E00461	Amia_calva_E00461	Clade04	Amiidae	Amiiformes	Bowfin	Harmless	Least Concern	LC	of no interest		yes		public aquariums	1	0	0	demersal		0	0	Subtropical	9.8	30	endemic		yes																								
Ammocrypta_beanii_E00187	Ammocrypta_beanii_E00187	Clade42	Percidae	Perciformes	Naked sand darter	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Ammocrypta_meridiana_E00148	Ammocrypta_meridiana_E00148	Clade42	Percidae	Perciformes	Southern sand darter	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Ammocrypta_pellucida_E00149	Ammocrypta_pellucida_E00149	Clade42	Percidae	Perciformes	Eastern sand darter	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Temperate	0	0	endemic		yes																								
Ammodytes_dubius_N02375	Ammodytes_dubius_N02375	Clade42	Ammodytidae	Uranoscopiformes	Northern sand lance	Harmless	Not Evaluated	NE	of potential interest					0	0	1	demersal		0	108	Polar	0	0	native								yes			yes	yes														
Ammodytes_hexapterus_E00414	Ammodytes_hexapterus_E00414	Clade42	Ammodytidae	Uranoscopiformes	Pacific sand lance	Harmless	Not Evaluated	NE	commercial					0	1	1	benthopelagic	oceanodromous	0	275	Temperate	0.1	11	native								yes				yes			yes						yes	yes	yes			
Amphiprion_clarkii_E00196	Amphiprion_clarkii_E00196	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Yellowtail clownfish	Harmless	Not Evaluated	NE	subsistence fisheries				commercial	0	0	1	reef-associated	non-migratory	1	60	Tropical	0	11	native																	yes	yes			yes		yes		yes	yes
Amphiprion_ocellaris_E00193	Amphiprion_ocellaris_E00193	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Clown anemonefish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated	non-migratory	1	15	Tropical	0	0	native																	yes						yes			yes
Amphistichus_argenteus_E00129	Amphistichus_argenteus_E00129	Clade41	Embiotocidae	Incertae sedis in Ovalentaria	Barred surfperch	Harmless	Not Evaluated	NE	minor commercial		yes			0	0	1	demersal		0	73	Subtropical	2	9	endemic																					yes					
Anampses_lineatus_E00932	Anampses_lineatus_E00932	Clade42	Labridae	Labriformes	Lined wrasse	Harmless	Data deficient	DD					commercial	0	0	1	reef-associated		10	45	Tropical	0	0	native																	yes	yes					yes			yes
Anaora_tentaculata	Anaora_tentaculata	Clade37	Callionymidae	Syngnathiformes	Tentacled dragonet	Harmless	Not Evaluated	NE						0	0	1	reef-associated		1	30	Tropical	0	0	native																							yes			yes
Anarhichas_denticulatus_E00787	Anarhichas_denticulatus_E00787	Clade42	Anarhichadidae	Perciformes	Northern wolffish	Harmless	Not Evaluated	NE	of no interest		yes			0	0	1	benthopelagic	oceanodromous	60	1700	Polar	20	0	native								yes			yes	yes														
Anarhichas_orientalis_lupus_E00117	Anarhichas_orientalis_lupus_E00117	Clade42	Anarhichadidae	Perciformes	Bering wolffish	Harmless	Not Evaluated	NE						0	0	1	demersal		0	100	Temperate	0	0	native								yes														yes	yes			
Anarrhichthys_ocellatus_E00119	Anarrhichthys_ocellatus_E00119	Clade42	Anarhichadidae	Perciformes	Wolf-eel	Traumatogenic	Not Evaluated	NE	minor commercial				public aquariums	0	0	1	demersal		1	226	Temperate	18.4	0	native								yes													yes	yes	yes			
Ancistrus_leucostictus_P1_G08_RG68	Ancistrus_leucostictus_P1_G08_RG68	Clade14a	Loricariidae	Siluriformes		Harmless	Not Evaluated	NE						1	0	0	demersal		0	0	Tropical	0	0	endemic			yes																							
Ancylopsetta_ommata_E00001	Ancylopsetta_ommata_E00001	Clade40	Paralichthyidae	Pleuronectiformes	Gulf of Mexico ocellated flounder	Harmless	Least Concern	LC						0	0	1	demersal		4	110	Subtropical	0	0	native												yes			yes											
Anguilla_rostrata_G01202	Anguilla_rostrata_G01202	Clade06d	Anguillidae	Anguilliformes	American eel	Harmless	Endangered	EN	commercial	commercial	yes		public aquariums	1	1	1	demersal	catadromous	0	464	Subtropical	7.3	43	native		yes	yes		yes							yes		yes	yes											
Anisotremus_surinamensis_N17175	Anisotremus_surinamensis_N17175	Clade42	Haemulidae	Lutjaniformes	Black margate	Reports of ciguatera poisoning	Data deficient	DD	commercial				public aquariums	0	0	1	reef-associated		0	20	Subtropical	5.8	0	native														yes	yes											
Anisotremus_virginicus_E00200	Anisotremus_virginicus_E00200	Clade42	Haemulidae	Lutjaniformes	Porkfish	Reports of ciguatera poisoning	Least Concern	LC	minor commercial		yes		public aquariums	0	0	1	reef-associated		2	20	Subtropical	0.93	0	native														yes	yes											
Anomalops_katoptron_M02573	Anomalops_katoptron_M02573	Clade31	Anomalopidae	Trachichthyiformes	Splitfin flashlightfish	Harmless	Not Evaluated	NE	of no interest			occasionally	commercial	0	0	1	reef-associated		2	400	Tropical	0	0	native																					yes		yes			yes
Anoplocapros_lenticularis_G01533	Anoplocapros_lenticularis_G01533	Clade42	Aracanidae	Tetraodontiformes	White-barred boxfish	Harmless	Not Evaluated	NE						0	0	1	demersal		10	220	Subtropical	0	0	endemic																	yes									
Anoplogaster_cornuta_E00662	Anoplogaster_cornuta_E00662	Clade31	Anoplogastridae	Trachichthyiformes	Common fangtooth	Harmless	Least Concern	LC	of no interest					0	0	1	bathypelagic		2	4992	Deep-water	0	0	native										yes	yes	yes	yes	yes	yes		yes	yes			yes	yes	yes	yes	yes	yes
Anoplopoma_fimbria_E00423	Anoplopoma_fimbria_E00423	Clade42	Anoplopomatidae	Perciformes	Sablefish	Harmless	Not Evaluated	NE	highly commercial	likely future use			public aquariums	0	0	1	bathydemersal	oceanodromous	175	2740	Deep-water	0	94	native																					yes	yes	yes			
Anostomus_ternetzi_P1_A06_RG74	Anostomus_ternetzi_P1_A06_RG74	Clade12b	Anostomidae	Characiformes		Harmless	Not Evaluated	NE					commercial	1	0	0	benthopelagic		0	0	Tropical	0	0	endemic			yes																							
Anotopterus_pharao_E00964	Anotopterus_pharao_E00964	Clade23	Alepisauridae	Aulopiformes	Daggertooth	Harmless	Least Concern	LC						0	0	1	bathypelagic		0	5100	Deep-water	0	0	native										yes	yes	yes														
Antennatus_coccineus_E01092	Antennatus_coccineus_E01092	Clade42	Antennariidae	Lophiiformes	Scarlet frogfish	Harmless	Not Evaluated	NE	of no interest				commercial	0	0	1	reef-associated		1	75	Tropical	0	0	native													yes				yes	yes			yes		yes	yes	yes	yes
